Tamanho	Bubble Sort	Insertion Sort	Selection Sort	Merge Sort	Quick Sort
50	0.0001	0.0001	0.0001	0.0001	0.0001
75	0.0003	0.0002	0.0002	0.0003	0.0001
100	0.0006	0.0003	0.0003	0.0003	0.0001
150	0.0009	0.0006	0.0007	0.0005	0.0002
200	0.0016	0.0012	0.0011	0.0006	0.0003
300	0.0055	0.0022	0.0020	0.0009	0.0004
400	0.0094	0.0033	0.0060	0.0013	0.0005
600	0.0197	0.0099	0.0116	0.0018	0.0014
800	0.0458	0.0162	0.0198	0.0051	0.0011
1200	0.1136	0.0416	0.0444	0.0040	0.0025
1600	0.2127	0.0753	0.0754	0.0050	0.0031
2400	0.4032	0.1519	0.1625	0.0083	0.0039
3200	0.7292	0.2650	0.2873	0.0126	0.0072
4800	1.4475	0.6101	0.6858	0.0196	0.0131
6400	2.4278	1.0354	1.1977	0.0296	0.0196
9600	5.4262	2.3888	2.6392	0.0479	0.0251
12800	9.5972	4.0488	4.7328	0.0512	0.0351
16000	14.7040	6.4285	7.5203	0.0675	0.0345
20000	22.2881	10.5920	11.3846	0.0790	0.0631
25000	34.9935	17.5566	17.8258	0.1001	0.0574
